Quantity,Python Result,Paper Value
Additional energy,550 J,550 J
Long jump vertical velocity,3.71 m/s,about 3.7 m/s
Long jump flight distance L2,7.57 m,about 7.6 m
Total long jump distance,8.37 m,about 8.4 m
Long jump takeoff angle,20.3 degrees,about 20 degrees
High jump theta,56 degrees,56 degrees
High jump final vertical velocity,4.53 m/s,about 4.5 m/s
High jump center of mass rise,1.05 m,about 1.0 m
High jump total height using h0 = 1.1 m,2.15 m,about 2.1 m
High jump takeoff angle,49.5 degrees,about 49-50 degrees
